Sens-1;Sens-2;Sens-3;Sens-4;Sens-5;Sens-6;Sens-7;Sens-8;Sens-9;Sens-10;Label
16.38;26.38;76.38;113.53;73.83;1.19;175.74;48.00;78.00;120.01;0
16.47;26.47;76.47;113.87;74.67;1.23;177.01;44.91;73.36;112.26;1
18.16;28.16;78.16;120.65;91.62;2.08;202.42;51.90;83.84;129.74;1
18.26;28.26;78.26;121.03;92.57;2.13;203.86;52.95;85.43;132.38;1
19.77;29.77;79.77;127.08;107.70;2.88;226.54;35.30;58.95;88.25;1
18.45;28.45;78.45;121.80;94.51;2.23;206.76;43.56;71.34;108.90;1
16.16;26.16;76.16;112.65;71.62;1.08;172.43;51.14;82.70;127.84;1
17.60;27.60;77.60;118.39;85.98;1.80;193.97;51.63;83.44;129.07;1
16.81;26.81;76.81;115.24;78.10;1.40;182.15;57.17;91.75;142.92;1
18.17;28.17;78.17;120.70;91.74;2.09;202.61;53.03;85.55;132.58;1
18.62;28.62;78.62;122.50;96.25;2.31;209.37;42.09;69.14;105.24;1
18.44;28.44;78.44;121.75;94.38;2.22;206.57;62.40;99.61;156.01;1
16.67;26.67;76.67;114.68;76.71;1.34;180.06;55.96;89.94;139.90;1
16.60;26.60;76.60;114.41;76.03;1.30;179.05;49.12;79.67;122.79;1
15.81;25.81;75.81;111.24;68.09;0.90;167.13;49.73;80.60;124.34;1
20.82;30.82;80.82;131.29;118.23;3.41;242.34;50.93;82.39;127.32;1
18.65;28.65;78.65;122.61;96.53;2.33;209.80;43.70;71.55;109.25;1
18.81;28.81;78.81;123.26;98.15;2.41;212.22;30.47;51.70;76.17;1
17.04;27.04;77.04;116.17;80.42;1.52;185.64;26.79;46.18;66.97;1
18.91;28.91;78.91;123.63;99.08;2.45;213.62;40.68;67.01;101.69;1
19.97;29.97;79.97;127.88;109.71;2.99;229.56;46.03;75.05;115.08;1
17.66;27.66;77.66;118.65;86.61;1.83;194.92;51.46;83.19;128.65;1
18.17;28.17;78.17;120.67;91.67;2.08;202.50;44.50;72.75;111.25;1
17.86;27.86;77.86;119.42;88.56;1.93;197.84;46.24;75.37;115.61;1
16.77;26.77;76.77;115.08;77.71;1.39;181.56;41.44;68.16;103.60;1
18.19;28.19;78.19;120.77;91.94;2.10;202.90;50.07;81.11;125.18;1
17.16;27.16;77.16;116.64;81.61;1.58;187.42;48.75;79.12;121.87;0
17.91;27.91;77.91;119.64;89.09;1.95;198.64;37.89;62.83;94.71;1
16.88;26.88;76.88;115.54;78.84;1.44;183.26;50.97;82.45;127.41;0
18.43;28.43;78.43;121.71;94.28;2.21;206.42;62.52;99.78;156.29;1
17.21;27.21;77.21;116.84;82.11;1.61;188.17;45.48;74.22;113.70;1
17.54;27.54;77.54;118.16;85.40;1.77;193.11;33.85;56.78;84.63;1
18.30;28.30;78.30;121.19;92.97;2.15;204.46;36.64;60.96;91.60;1
18.60;28.60;78.60;122.38;95.96;2.30;208.93;57.03;91.54;142.57;1
17.77;27.77;77.77;119.10;87.74;1.89;196.61;36.48;60.72;91.20;1
19.26;29.26;79.26;125.06;102.64;2.63;218.96;50.86;82.29;127.15;1
18.22;28.22;78.22;120.88;92.19;2.11;203.29;49.88;80.82;124.70;1
17.22;27.22;77.22;116.88;82.19;1.61;188.28;43.49;71.23;108.72;1
17.44;27.44;77.44;117.75;84.37;1.72;191.55;45.04;73.56;112.60;1
18.02;28.02;78.02;120.09;90.22;2.01;200.33;38.93;64.40;97.33;1
16.78;26.78;76.78;115.10;77.76;1.39;181.64;37.97;62.96;94.94;1
17.55;27.55;77.55;118.21;85.52;1.78;193.29;49.93;80.90;124.83;1
18.35;28.35;78.35;121.38;93.45;2.17;205.18;36.21;60.32;90.54;1
17.38;27.38;77.38;117.53;83.82;1.69;190.73;42.18;69.27;105.45;1
19.31;29.31;79.31;125.23;103.08;2.65;219.62;40.70;67.05;101.74;1
17.38;27.38;77.38;117.52;83.80;1.69;190.70;37.59;62.39;93.98;1
17.24;27.24;77.24;116.95;82.37;1.62;188.55;35.72;59.59;89.31;1
16.96;26.96;76.96;115.83;79.57;1.48;184.35;45.13;73.69;112.82;1
18.61;28.61;78.61;122.43;96.09;2.30;209.13;44.40;72.60;111.00;1
17.25;27.25;77.25;116.98;82.45;1.62;188.68;30.45;51.68;76.13;1
18.24;28.24;78.24;120.95;92.37;2.12;203.55;52.08;84.13;130.21;1
18.54;28.54;78.54;122.15;95.37;2.27;208.06;57.17;91.75;142.92;1
19.05;29.05;79.05;124.18;100.46;2.52;215.68;49.27;79.91;123.18;1
16.62;26.62;76.62;114.47;76.18;1.31;179.27;47.25;76.88;118.14;1
18.05;28.05;78.05;120.22;90.54;2.03;200.81;46.27;75.41;115.69;1
19.01;29.01;79.01;124.03;100.06;2.50;215.09;42.29;69.43;105.71;1
17.68;27.68;77.68;118.72;86.81;1.84;195.21;39.31;64.96;98.27;1
18.22;28.22;78.22;120.88;92.20;2.11;203.29;45.22;73.84;113.06;1
16.94;26.94;76.94;115.74;79.35;1.47;184.03;44.36;72.54;110.89;1
18.11;28.11;78.11;120.44;91.11;2.06;201.66;43.45;71.18;108.63;1
18.47;28.47;78.47;121.89;94.73;2.24;207.09;55.38;89.07;138.46;1
16.72;26.72;76.72;114.87;77.16;1.36;180.75;49.45;80.17;123.62;1
17.49;27.49;77.49;117.97;84.93;1.75;192.40;52.58;84.87;131.45;1
19.62;29.62;79.62;126.48;106.20;2.81;224.30;52.59;84.89;131.48;1
18.90;28.90;78.90;123.59;98.97;2.45;213.45;33.39;56.09;83.48;1
18.30;28.30;78.30;121.20;92.99;2.15;204.48;46.31;75.47;115.78;1
17.00;27.00;77.00;115.99;79.97;1.50;184.95;33.72;56.59;84.31;1
18.53;28.53;78.53;122.13;95.32;2.27;207.99;51.90;83.85;129.75;1
16.27;26.27;76.27;113.08;72.70;1.13;174.04;43.97;71.95;109.91;1
17.11;27.11;77.11;116.44;81.11;1.56;186.66;65.59;104.39;163.98;1
18.03;28.03;78.03;120.14;90.35;2.02;200.52;38.50;63.76;96.26;1
20.76;30.76;80.76;131.05;117.62;3.38;241.44;38.00;63.01;95.01;1
17.75;27.75;77.75;119.00;87.50;1.88;196.25;48.40;78.60;121.00;1
17.72;27.72;77.72;118.88;87.21;1.86;195.81;47.12;76.68;117.79;1
16.12;26.12;76.12;112.49;71.21;1.06;171.82;36.42;60.63;91.06;1
17.01;27.01;77.01;116.03;80.07;1.50;185.10;44.41;72.62;111.03;1
18.03;28.03;78.03;120.12;90.30;2.02;200.46;41.61;68.41;104.01;1
16.33;26.33;76.33;113.34;73.34;1.17;175.01;47.39;77.08;118.46;1
18.56;28.56;78.56;122.26;95.64;2.28;208.46;56.79;91.19;141.98;1
17.35;27.35;77.35;117.40;83.49;1.67;190.24;30.53;51.79;76.32;1
17.80;27.80;77.80;119.18;87.95;1.90;196.93;42.87;70.31;107.18;1
18.85;28.85;78.85;123.41;98.53;2.43;212.80;30.27;51.41;75.68;1
18.85;28.85;78.85;123.41;98.52;2.43;212.78;47.73;77.60;119.33;1
18.19;28.19;78.19;120.75;91.88;2.09;202.82;44.66;72.99;111.65;0
18.72;28.72;78.72;122.87;97.18;2.36;210.78;63.53;101.29;158.82;1
18.63;28.63;78.63;122.51;96.29;2.31;209.43;34.98;58.47;87.46;1
18.12;28.12;78.12;120.48;91.19;2.06;201.79;56.56;90.84;141.40;0
17.75;27.75;77.75;119.00;87.49;1.87;196.24;26.96;46.44;67.39;1
16.43;26.43;76.43;113.74;74.34;1.22;176.51;37.74;62.61;94.34;1
18.42;28.42;78.42;121.68;94.21;2.21;206.32;59.33;94.99;148.32;1
19.41;29.41;79.41;125.66;104.14;2.71;221.21;38.50;63.75;96.26;1
15.94;25.94;75.94;111.75;69.36;0.97;169.05;43.56;71.34;108.90;1
17.60;27.60;77.60;118.40;86.00;1.80;194.00;33.84;56.76;84.60;1
17.47;27.47;77.47;117.87;84.67;1.73;192.01;40.47;66.71;101.18;1
18.83;28.83;78.83;123.32;98.29;2.41;212.43;47.50;77.24;118.74;1
17.49;27.49;77.49;117.97;84.94;1.75;192.41;34.82;58.23;87.06;1
15.83;25.83;75.83;111.32;68.31;0.92;167.47;37.54;62.32;93.86;1
19.23;29.23;79.23;124.91;102.26;2.61;218.40;43.17;70.75;107.92;1
18.29;28.29;78.29;121.15;92.87;2.14;204.30;34.36;57.54;85.90;1
19.03;29.03;79.03;124.12;100.30;2.51;215.45;48.79;79.18;121.96;1
16.65;26.65;76.65;114.61;76.52;1.33;179.78;40.06;66.09;100.15;1
18.12;28.12;78.12;120.47;91.18;2.06;201.77;40.70;67.05;101.76;1
16.54;26.54;76.54;114.17;75.42;1.27;178.13;38.82;64.24;97.06;1
20.19;30.19;80.19;128.76;111.91;3.10;232.87;53.65;86.48;134.13;1
18.55;28.55;78.55;122.20;95.50;2.28;208.25;35.84;59.76;89.59;1
19.04;29.04;79.04;124.16;100.39;2.52;215.58;44.02;72.02;110.04;1
19.23;29.23;79.23;124.91;102.29;2.61;218.43;48.50;78.74;121.24;1
18.47;28.47;78.47;121.90;94.74;2.24;207.12;48.41;78.61;121.02;1
16.98;26.98;76.98;115.91;79.77;1.49;184.65;35.57;59.36;88.94;1
19.71;29.71;79.71;126.84;107.11;2.86;225.66;33.13;55.69;82.82;1
16.89;26.89;76.89;115.57;78.94;1.45;183.40;42.44;69.66;106.10;1
18.35;28.35;78.35;121.38;93.45;2.17;205.18;48.19;78.29;120.48;1
16.90;26.90;76.90;115.58;78.95;1.45;183.43;38.30;63.45;95.76;1
18.90;28.90;78.90;123.59;98.96;2.45;213.45;40.85;67.28;102.13;1
17.09;27.09;77.09;116.37;80.91;1.55;186.37;52.26;84.40;130.66;0
18.06;28.06;78.06;120.24;90.59;2.03;200.88;41.09;67.63;102.72;1
18.46;28.46;78.46;121.82;94.56;2.23;206.83;50.21;81.31;125.51;1
18.46;28.46;78.46;121.84;94.60;2.23;206.89;36.58;60.88;91.46;1
18.95;28.95;78.95;123.81;99.53;2.48;214.29;57.51;92.26;143.76;1
18.88;28.88;78.88;123.51;98.77;2.44;213.15;40.82;67.23;102.05;1
17.57;27.57;77.57;118.28;85.70;1.78;193.54;47.00;76.50;117.50;1
18.10;28.10;78.10;120.39;90.98;2.05;201.47;53.76;86.65;134.41;1
18.21;28.21;78.21;120.84;92.10;2.11;203.15;44.47;72.71;111.18;1
20.45;30.45;80.45;129.81;114.53;3.23;236.80;46.91;76.37;117.29;1
16.46;26.46;76.46;113.86;74.64;1.23;176.96;41.68;68.51;104.19;1
18.48;28.48;78.48;121.91;94.77;2.24;207.15;52.44;84.65;131.09;1
18.41;28.41;78.41;121.66;94.14;2.21;206.21;52.61;84.91;131.52;1
18.60;28.60;78.60;122.39;95.98;2.30;208.97;45.87;74.80;114.67;1
17.98;27.98;77.98;119.91;89.76;1.99;199.65;48.54;78.82;121.36;1
19.89;29.89;79.89;127.57;108.93;2.95;228.40;36.72;61.08;91.79;1
18.64;28.64;78.64;122.56;96.39;2.32;209.58;41.39;68.08;103.47;1
18.51;28.51;78.51;122.04;95.09;2.25;207.63;38.64;63.96;96.60;1
19.26;29.26;79.26;125.04;102.59;2.63;218.88;33.68;56.52;84.20;1
16.28;26.28;76.28;113.10;72.75;1.14;174.13;32.90;55.36;82.26;1
19.98;29.98;79.98;127.91;109.79;2.99;229.68;34.08;57.13;85.21;1
18.48;28.48;78.48;121.90;94.76;2.24;207.14;56.29;90.44;140.73;1
18.41;28.41;78.41;121.63;94.07;2.20;206.11;48.68;79.03;121.71;1
16.61;26.61;76.61;114.46;76.15;1.31;179.22;33.13;55.69;82.82;1
17.60;27.60;77.60;118.38;85.95;1.80;193.93;48.96;79.44;122.39;1
18.53;28.53;78.53;122.13;95.33;2.27;208.00;41.87;68.80;104.67;1
17.93;27.93;77.93;119.72;89.30;1.97;198.95;46.52;75.78;116.30;0
17.50;27.50;77.50;118.01;85.01;1.75;192.52;49.49;80.24;123.73;0
18.80;28.80;78.80;123.19;97.97;2.40;211.96;26.68;46.02;66.70;1
18.31;28.31;78.31;121.24;93.10;2.16;204.66;43.43;71.15;108.59;1
16.73;26.73;76.73;114.93;77.33;1.37;180.99;39.56;65.33;98.89;1
18.95;28.95;78.95;123.82;99.54;2.48;214.31;30.52;51.78;76.30;1
17.39;27.39;77.39;117.57;83.92;1.70;190.89;40.60;66.90;101.50;0
17.07;27.07;77.07;116.30;80.74;1.54;186.11;48.84;79.26;122.10;0
19.74;29.74;79.74;126.97;107.41;2.87;226.12;43.08;70.62;107.69;1
16.31;26.31;76.31;113.23;73.07;1.15;174.60;27.10;46.64;67.74;1
17.19;27.19;77.19;116.77;81.93;1.60;187.90;38.49;63.73;96.22;1
18.82;28.82;78.82;123.27;98.16;2.41;212.24;52.80;85.20;131.99;1
17.41;27.41;77.41;117.64;84.10;1.70;191.15;42.59;69.89;106.48;1
17.26;27.26;77.26;117.04;82.60;1.63;188.89;59.03;94.55;147.58;0
17.57;27.57;77.57;118.29;85.73;1.79;193.60;46.49;75.73;116.22;1
16.71;26.71;76.71;114.83;77.08;1.35;180.63;41.97;68.95;104.92;1
17.10;27.10;77.10;116.38;80.96;1.55;186.44;48.64;78.97;121.61;1
17.91;27.91;77.91;119.64;89.10;1.95;198.65;49.13;79.69;122.81;1
18.07;28.07;78.07;120.30;90.75;2.04;201.12;42.76;70.14;106.91;1
18.15;28.15;78.15;120.61;91.52;2.08;202.28;43.57;71.35;108.92;1
17.80;27.80;77.80;119.21;88.02;1.90;197.03;37.21;61.81;93.02;1
18.18;28.18;78.18;120.71;91.77;2.09;202.65;38.90;64.34;97.24;1
18.40;28.40;78.40;121.59;93.98;2.20;205.96;47.83;77.74;119.57;1
16.89;26.89;76.89;115.55;78.87;1.44;183.30;38.21;63.32;95.53;1
16.22;26.22;76.22;112.89;72.22;1.11;173.33;47.24;76.86;118.11;1
17.16;27.16;77.16;116.63;81.58;1.58;187.37;32.92;55.39;82.31;1
19.25;29.25;79.25;125.02;102.54;2.63;218.81;43.33;70.99;108.32;1
17.56;27.56;77.56;118.22;85.56;1.78;193.33;46.22;75.33;115.56;0
18.77;28.77;78.77;123.10;97.74;2.39;211.61;59.93;95.89;149.81;1
18.65;28.65;78.65;122.61;96.53;2.33;209.79;58.05;93.08;145.13;1
18.44;28.44;78.44;121.77;94.43;2.22;206.65;51.62;83.43;129.05;1
18.31;28.31;78.31;121.24;93.11;2.16;204.66;28.73;49.10;71.83;1
18.05;28.05;78.05;120.21;90.51;2.03;200.77;48.51;78.77;121.28;1
17.17;27.17;77.17;116.67;81.67;1.58;187.51;37.77;62.66;94.43;1
18.34;28.34;78.34;121.35;93.37;2.17;205.06;40.05;66.08;100.13;1
18.23;28.23;78.23;120.91;92.28;2.11;203.42;52.21;84.31;130.51;1
17.89;27.89;77.89;119.55;88.89;1.94;198.33;41.78;68.67;104.45;1
18.52;28.52;78.52;122.09;95.22;2.26;207.82;25.54;44.30;63.84;1
18.74;28.74;78.74;122.96;97.39;2.37;211.09;50.10;81.16;125.26;1
18.51;28.51;78.51;122.02;95.06;2.25;207.58;59.59;95.38;148.96;1
17.73;27.73;77.73;118.90;87.26;1.86;195.88;38.90;64.36;97.26;1
18.70;28.70;78.70;122.78;96.96;2.35;210.44;35.71;59.57;89.28;1
17.11;27.11;77.11;116.44;81.10;1.55;186.65;45.35;74.03;113.38;0
16.75;26.75;76.75;115.00;77.50;1.37;181.24;45.33;74.00;113.33;1
19.15;29.15;79.15;124.61;101.52;2.58;217.29;51.91;83.87;129.78;1
16.13;26.13;76.13;112.52;71.29;1.06;171.93;47.21;76.82;118.03;1
18.09;28.09;78.09;120.37;90.93;2.05;201.40;43.39;71.09;108.48;1
18.00;28.00;78.00;120.01;90.02;2.00;200.03;37.73;62.60;94.33;1
17.90;27.90;77.90;119.61;89.02;1.95;198.52;57.50;92.25;143.76;1
18.32;28.32;78.32;121.30;93.25;2.16;204.87;47.72;77.58;119.30;1
18.50;28.50;78.50;122.00;95.00;2.25;207.50;45.49;74.23;113.72;1
17.16;27.16;77.16;116.64;81.59;1.58;187.39;44.71;73.06;111.77;1
19.25;29.25;79.25;125.00;102.49;2.62;218.73;47.19;76.79;117.98;1
18.47;28.47;78.47;121.86;94.66;2.23;206.99;58.08;93.11;145.19;1
18.35;28.35;78.35;121.40;93.49;2.17;205.23;44.34;72.51;110.84;1
18.22;28.22;78.22;120.87;92.19;2.11;203.28;44.48;72.72;111.20;1
17.99;27.99;77.99;119.95;89.87;1.99;199.80;47.99;77.99;119.98;0
17.55;27.55;77.55;118.21;85.53;1.78;193.30;43.62;71.43;109.05;1
16.99;26.99;76.99;115.95;79.88;1.49;184.82;36.23;60.35;90.58;1
17.13;27.13;77.13;116.53;81.31;1.57;186.97;47.30;76.95;118.25;1
18.04;28.04;78.04;120.14;90.35;2.02;200.53;54.00;87.00;135.00;1
18.73;28.73;78.73;122.92;97.30;2.36;210.95;43.04;70.56;107.61;1
17.52;27.52;77.52;118.07;85.18;1.76;192.77;38.88;64.32;97.20;1
17.67;27.67;77.67;118.67;86.68;1.83;195.02;33.31;55.96;83.27;1
18.69;28.69;78.69;122.77;96.91;2.35;210.37;37.84;62.76;94.61;1
18.04;28.04;78.04;120.15;90.38;2.02;200.57;40.15;66.23;100.38;1
17.43;27.43;77.43;117.71;84.28;1.71;191.43;31.13;52.70;77.83;1
19.59;29.59;79.59;126.35;105.88;2.79;223.81;52.08;84.12;130.19;1
17.27;27.27;77.27;117.09;82.72;1.64;189.08;49.19;79.78;122.97;1
18.14;28.14;78.14;120.54;91.36;2.07;202.04;53.90;86.85;134.76;0
18.08;28.08;78.08;120.31;90.77;2.04;201.16;43.39;71.09;108.48;1
18.71;28.71;78.71;122.83;97.08;2.35;210.63;43.26;70.89;108.16;1
17.00;27.00;77.00;115.98;79.95;1.50;184.93;41.16;67.75;102.91;1
18.03;28.03;78.03;120.10;90.26;2.01;200.39;41.05;67.57;102.61;1
19.37;29.37;79.37;125.48;103.70;2.68;220.54;51.58;83.36;128.94;1
18.09;28.09;78.09;120.34;90.86;2.04;201.29;59.77;95.65;149.42;1
15.90;25.90;75.90;111.61;69.03;0.95;168.55;44.96;73.43;112.39;1
18.05;28.05;78.05;120.20;90.50;2.03;200.75;36.34;60.51;90.86;1
18.55;28.55;78.55;122.20;95.49;2.27;208.24;47.10;76.65;117.74;1
19.27;29.27;79.27;125.06;102.66;2.63;218.99;45.83;74.74;114.57;1
16.41;26.41;76.41;113.64;74.10;1.21;176.15;52.26;84.39;130.64;1
19.57;29.57;79.57;126.28;105.69;2.78;223.54;47.08;76.62;117.70;1
16.65;26.65;76.65;114.61;76.52;1.33;179.79;45.76;74.65;114.41;1
16.48;26.48;76.48;113.90;74.76;1.24;177.14;30.46;51.69;76.15;1
19.29;29.29;79.29;125.14;102.86;2.64;219.29;43.78;71.66;109.44;1
18.18;28.18;78.18;120.72;91.80;2.09;202.70;40.27;66.41;100.68;1
16.80;26.80;76.80;115.22;78.05;1.40;182.07;64.18;102.27;160.45;0
15.67;25.67;75.67;110.67;66.68;0.83;165.02;69.09;109.64;172.73;0
18.40;28.40;78.40;121.59;93.97;2.20;205.95;51.00;82.51;127.51;1
18.04;28.04;78.04;120.15;90.36;2.02;200.55;48.14;78.21;120.36;1
18.65;28.65;78.65;122.59;96.46;2.32;209.70;37.04;61.56;92.60;1
18.20;28.20;78.20;120.78;91.96;2.10;202.94;41.56;68.34;103.89;1
17.17;27.17;77.17;116.67;81.68;1.58;187.52;52.38;84.58;130.96;0
17.68;27.68;77.68;118.71;86.78;1.84;195.17;47.64;77.45;119.09;1
19.13;29.13;79.13;124.50;101.26;2.56;216.89;56.38;90.56;140.94;1
17.77;27.77;77.77;119.08;87.70;1.89;196.55;33.53;56.30;83.83;1
16.25;26.25;76.25;113.00;72.50;1.13;173.75;52.52;84.78;131.30;1
19.32;29.32;79.32;125.27;103.18;2.66;219.78;36.09;60.14;90.23;1
15.82;25.82;75.82;111.27;68.18;0.91;167.27;35.53;59.30;88.84;1
16.81;26.81;76.81;115.25;78.12;1.41;182.17;24.91;43.37;62.28;1
17.70;27.70;77.70;118.79;86.97;1.85;195.46;57.00;91.50;142.50;1
18.87;28.87;78.87;123.49;98.74;2.44;213.10;34.74;58.12;86.86;1
18.16;28.16;78.16;120.64;91.61;2.08;202.41;41.22;67.84;103.06;1
18.25;28.25;78.25;121.00;92.51;2.13;203.76;45.82;74.73;114.55;1
19.02;29.02;79.02;124.08;100.21;2.51;215.31;51.17;82.76;127.93;1
18.79;28.79;78.79;123.17;97.92;2.40;211.87;48.12;78.17;120.29;1
17.17;27.17;77.17;116.69;81.74;1.59;187.60;33.42;56.14;83.56;1
19.26;29.26;79.26;125.05;102.62;2.63;218.93;35.67;59.51;89.18;1
18.01;28.01;78.01;120.02;90.06;2.00;200.09;46.85;76.28;117.13;1
18.14;28.14;78.14;120.56;91.41;2.07;202.11;44.25;72.38;110.64;1
18.06;28.06;78.06;120.23;90.57;2.03;200.86;42.08;69.13;105.21;1
18.04;28.04;78.04;120.15;90.38;2.02;200.57;30.81;52.21;77.02;1
18.09;28.09;78.09;120.35;90.89;2.04;201.33;32.05;54.08;80.13;1
19.72;29.72;79.72;126.88;107.20;2.86;225.79;54.66;87.98;136.64;1
17.54;27.54;77.54;118.15;85.39;1.77;193.08;57.81;92.71;144.51;0
